account_name,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
ครัวแล้วแต่เอ๋จ้าา,Food,238618,0,0,604,1369998.0,0.0,0.0,113000.0,52,0,0,20,239222,1482998.0,72,Mega
ตี๋อ้วนชวนหิว,Food,112371,0,5485,2876,145302.0,0.0,6967.0,62700.0,878,0,37,25,120732,214969.0,940,Macro
Japaikin จะไปกิน,Food,4906,32993,162,0,76906.0,99215.0,1556.0,2030.0,85,55,8,1,38061,179707.0,149,Macro
ชีวิตติดรีวิว,Food,5551916,0,274644,39597,3721462.0,0.0,392691.0,330000.0,2629,0,183,251,5866157,4444153.0,3063,Mega
Cafe Story : รีวิวคาเฟ่ ทุกวัน,Food,1786609,68325,301311,0,1657337.0,1385200.0,145187.0,0.0,5635,165,174,0,2156245,3187724.0,5974,Mega
ล้างตู้เย็น,Food,600771,0,0,0,1296228.0,0.0,0.0,0.0,241,0,0,0,600771,1296228.0,241,Mega
EAT Matters : by หมอตั้ม,Food,9259,0,0,0,82820.0,0.0,0.0,0.0,62,0,0,0,9259,82820.0,62,Macro
FOOD BLOG BKK,Food,212037,0,724439,0,536706.0,0.0,115556.0,0.0,1004,0,250,0,936476,652262.0,1254,Macro
น้าอ้วนชวนหิว by Wongnai,Food,320716,345,8263,0,544653.0,33917.0,126024.0,0.0,1350,51,28,0,329324,704594.0,1429,Macro
KP ตะลอนแหลก,Food,2244264,1842,344814,2664,1189156.0,2300.0,50801.0,9220.0,3484,33,139,22,2593584,1251477.0,3678,Mega
KRUA.CO by sangdad,Food,145931,0,8212,14570,446292.0,0.0,19766.0,429000.0,569,0,69,45,168713,895058.0,683,Macro
mine สะใภ้ตุรกี,Food,0,0,0,81120,0.0,0.0,0.0,96300.0,0,0,0,61,81120,96300.0,61,Micro
กับข้าวกับปลาโอ Plaocooking,Food,21645191,0,579,283221,6717497.0,0.0,2619.0,1840000.0,228,0,2,67,21928991,8560116.0,297,Mega
Lullafoods,Food,55410,0,175,10,62812.0,0.0,2389.0,133.0,471,0,7,1,55595,65334.0,479,Micro
Eat Here,Food,899893,0,664163,0,597281.0,0.0,299603.0,0.0,3345,0,252,0,1564056,896884.0,3597,Macro
Eat Lek Lek,Food,4198,0,376569,0,19274.0,0.0,178615.0,0.0,118,0,124,0,380767,197889.0,242,Macro
พาทำ พาทาน,Food,3371903,0,0,637,2663012.0,0.0,0.0,5160.0,452,0,0,4,3372540,2668172.0,456,Mega
ST Cooking,Food,120029,0,0,0,1641916.0,0.0,0.0,0.0,541,0,0,0,120029,1641916.0,541,Mega
MyQuest,Food,0,0,0,66719,0.0,0.0,0.0,221000.0,0,0,0,24,66719,221000.0,24,Macro
ตายายสอนหลาน,Food,74883,0,0,136,250752.0,0.0,0.0,3580.0,112,0,0,8,75019,254332.0,120,Macro
กินไปเหอะ,Food,2185165,0,6874,0,508035.0,0.0,11543.0,0.0,1716,0,18,0,2192039,519578.0,1734,Macro
KLANG KITCHEN,Food,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nano
Mawinfinferrr,Food,7671767,0,1813935,150541,920028.0,0.0,307995.0,353000.0,143,0,92,52,9636243,1581023.0,287,Mega
finfincooking,Food,0,0,233829,629,0.0,0.0,670787.0,11000.0,0,0,46,28,234458,681787.0,74,Macro
MENUZAPZAP,Food,0,0,0,173,0.0,0.0,0.0,501.0,0,0,0,5,173,501.0,5,End-user
Sek Food&DIY Sek Food&DIY,Food,0,0,0,1971,0.0,0.0,0.0,144000.0,0,0,0,37,1971,144000.0,37,Macro
aimmafiaz,Food,0,0,363940,0,0.0,0.0,439927.0,0.0,0,0,140,0,363940,439927.0,140,Macro
Chef Gai Thanunya,Food,7102,0,0,0,116998.0,0.0,0.0,0.0,5,0,0,0,7102,116998.0,5,Macro
เข้าครัวกัน Chanel,Food,22,0,0,2124,727.0,0.0,0.0,1030.0,7,0,0,4,2146,1757.0,11,Nano
Chef Nan - เชฟน่าน,Food,46397,0,0,0,146483.0,0.0,0.0,0.0,76,0,0,0,46397,146483.0,76,Macro
PPgallery,Food,0,0,274113,36,0.0,0.0,473356.0,5310.0,0,0,103,3,274149,478666.0,106,Macro
พรุ่งนี้ค่อยลด,Food,153235,0,1368,17,115813.0,0.0,949.0,3140.0,1015,0,29,1,154620,119902.0,1045,Macro
Poiluang Cooking,Food,1385,0,0,0,6446.0,0.0,0.0,0.0,70,0,0,0,1385,6446.0,70,Nano
Eatoutbkk,Food,907,0,40552,0,109881.0,0.0,426074.0,0.0,181,0,39,0,41459,535955.0,220,Macro
ศุภชัย เสมอมิตร โหน่งโชว์,Food,1927075,0,0,142840,1972104.0,0.0,0.0,868000.0,141,0,0,180,2069915,2840104.0,321,Mega
VIPS Station,Food,285729,0,0,148874,138115.0,0.0,0.0,948000.0,75,0,0,42,434603,1086115.0,117,Mega
Latdawan Channel,Food,2,0,0,283,151.0,0.0,0.0,9360.0,1,0,0,2,285,9511.0,3,Nano
SAN CE,Food,0,0,0,318007,0.0,0.0,0.0,453000.0,0,0,0,40,318007,453000.0,40,Macro
Pam Studio,Food,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,End-user
Eat Like 852 - ตะลุยกิน เที่ยวฮ่องกง โดยคนไทยในฮ่องกง,Food,211452,0,3917,0,193221.0,0.0,26327.0,0.0,772,0,14,0,215369,219548.0,786,Macro
Ms Happy Diet - The Healthy Foodie,Food,2936,0,16380,0,23504.0,0.0,48679.0,0.0,197,0,106,0,19316,72183.0,303,Micro
FoodTravelTVChannel,Food,0,0,0,11288,0.0,0.0,0.0,2370000.0,0,0,0,7,11288,2370000.0,7,Mega
Kinjubkinjib - กินจุ๊บกินจิ๊บ,Food,10248,31074,256000,0,17502.0,69662.0,121879.0,0.0,772,99,149,0,297322,209043.0,1020,Macro
ถนัดชิม,Food,638990,0,75672,0,496448.0,0.0,22046.0,0.0,3120,0,120,0,714662,518494.0,3240,Macro
กินแก้มตุ่ย ตะลุยเที่ยว,Food,12315,0,200,59,538275.0,0.0,96567.0,3720.0,233,0,12,9,12574,638562.0,254,Macro
กินข้าวกัน,Food,950500,0,24923,0,3018942.0,0.0,212628.0,0.0,205,0,17,0,975423,3231570.0,222,Mega
Foodoclock Eat Around Theclock,Food,0,0,72414,0,0.0,0.0,484221.0,0.0,0,0,46,0,72414,484221.0,46,Macro
ตัวคนเดียวก็เที่ยวได้,Travel,3682,0,0,0,125561.0,0.0,0.0,0.0,71,0,0,0,3682,125561.0,71,Macro
HappyNancy,Travel,198488,0,214518,25,216819.0,0.0,63289.0,2870.0,648,0,121,1,413031,282978.0,770,Macro
widsawaphatiew,Travel,0,0,240967,240,0.0,0.0,42562.0,1290.0,0,0,67,7,241207,43852.0,74,Micro
เที่ยวเอง,Travel,126280,0,9290,0,388463.0,0.0,13490.0,0.0,750,0,48,0,135570,401953.0,798,Macro
TripTH ทริปไทยแลนด์,Travel,5433818,0,3919,107,3460090.0,0.0,38865.0,2230.0,3448,0,4,111,5437844,3501185.0,3563,Mega
Bestie Wanderer - คู่ซี้ตะลอนโลก,Travel,240595,0,0,1130,165921.0,0.0,0.0,18000.0,1342,0,0,10,241725,183921.0,1352,Macro
