Unnamed: 0,id,account_name,facebook_id,twitter_id,instagram_id,youtube_id,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
154,a-63b3f9d8509c11eb9aea8c8590014502,ตี๋อ้วนชวนหิว,102239000000000,0,11347858,UCFNQT1BGWK1Y3qfvrhTHqwg,Food,365461,0,23076,16579,147135.0,0.0,8404.0,62700.0,3086,0,253,125,405116,218239.0,3464,Macro
155,a-63b346d2509c11eb9aea8c8590014502,Japaikin จะไปกิน,187585000000000,3227183821,2008504843,UCMBKjRTI7nKHgu2e3mRg1wA,Food,21546,73645,267,0,77228.0,102837.0,1556.0,2030.0,167,227,12,1,95458,183651.0,407,Macro
156,a-63b3ef7e509c11eb9aea8c8590014502,ชีวิตติดรีวิว,1621280000000000,7.1868e+,3216905707,UCYRRLAoGQgB8UkQrndy5gdg,Food,28377699,0,777770,162235,3811846.0,0.0,532032.0,371000.0,9720,0,687,1011,29317704,4714878.0,11418,Mega
157,a-63b2b528509c11eb9aea8c8590014502,Cafe Story : รีวิวคาเฟ่ ทุกวัน,371942000000000,75054509,8713945623,0,Food,6070807,222695,922810,0,1736497.0,1392132.0,145187.0,0.0,18968,563,592,0,7216312,3273816.0,20123,Mega
158,a-63b0cd26509c11eb9aea8c8590014502,ล้างตู้เย็น,1652040000000000,0,0,0,Food,1550329,0,0,0,1305955.0,0.0,0.0,0.0,869,0,0,0,1550329,1305955.0,869,Mega
159,a-63b071a0509c11eb9aea8c8590014502,EAT Matters : by หมอตั้ม,202386000000000,0,0,0,Food,78190,0,0,0,103022.0,0.0,0.0,0.0,234,0,0,0,78190,103022.0,234,Macro
160,a-63b2efca509c11eb9aea8c8590014502,FOOD BLOG BKK,616388000000000,1.00699e+,1813752705,0,Food,799305,0,2535269,0,546259.0,0.0,165040.0,0.0,2990,0,1003,0,3334574,711299.0,3993,Macro
161,a-63b291a6509c11eb9aea8c8590014502,น้าอ้วนชวนหิว by Wongnai,343692000000000,508774684,218513857,0,Food,2376177,20714,103425,0,545025.0,34467.0,140710.0,0.0,6415,383,296,0,2500316,720202.0,7094,Macro
162,a-63b34b64509c11eb9aea8c8590014502,KP ตะลอนแหลก,569612000000000,155500779,7272381323,UCtdkI82J-fAyd7mVSRPhWOw,Food,9471830,107352,1182911,9700,1285041.0,2348.0,50801.0,11000.0,13811,246,569,94,10771793,1349190.0,14720,Mega
163,a-63afc25a509c11eb9aea8c8590014502,KRUA.CO by sangdad,457252000000000,9.53198e+,490316826,UCk0_G2W4TrSAUY5RvNESExQ,Food,547419,0,31413,83003,450741.0,0.0,19766.0,437000.0,3301,0,233,224,661835,907507.0,3758,Macro
164,a-63b179c4509c11eb9aea8c8590014502,mine สะใภ้ตุรกี,0,0,0,UCWmJgkGcoOCiizgcuW-fkig,Food,0,0,0,256492,0.0,0.0,0.0,96300.0,0,0,0,217,256492,96300.0,217,Micro
